ags_new	name_new	ags_old	name_old
13071168	Zepkow	13056074	Zepkow
13073035	Grimmen, Stadt	13057036	Grimmen, Stadt
13073055	Marlow, Stadt	13057057	Marlow, Stadt
13073105	Zingst	13057096	Zingst
13073089	Süderholz	13057097	Süderholz
13073005	Altenpleen	13057005	Altenpleen
13073037	Groß Mohrdorf	13057038	Groß Mohrdorf
13073044	Klausdorf	13057047	Klausdorf
13073046	Kramerhof	13057049	Kramerhof
13073066	Preetz	13057067	Preetz
13073068	Prohn	13057069	Prohn
13073002	Ahrenshoop	13057002	Ahrenshoop
13073012	Born a. Darß	13057013	Born a. Darß
13073017	Dierhagen	13057022	Dierhagen
13073067	Prerow	13057068	Prerow
13073100	Wieck a. Darß	13057091	Wieck a. Darß
13073103	Wustrow	13057094	Wustrow
13073024	Franzburg, Stadt	13057028	Franzburg, Stadt
13073029	Glewitz	13057030	Glewitz
